source,date,headline,url,group,framing
NYT,08-25-2025,Abrego Garcia Detained Again After Government Signaled It Would Re-Deport Him,https://www.nytimes.com/2025/08/25/us/politics/kilmar-abrego-garcia-arrested-ice-deportation.html?searchResultPosition=3,,Kilmar Abrego Garcia 
The Independent,08-26-2025,Kilmar Abrego Garcia is back in jail and facing deportation. Here's what to know,https://www.independent.co.uk/news/uganda-donald-trump-costa-rica-tennessee-virginia-b2814615.html,,Kilmar Abrego Garcia 
The Independent,08-22-2025,Israel ramps up pressure on Gaza City as Palestinians face stark choice: ‘Die here or leave and die somewhere else',https://www.independent.co.uk/news/world/middle-east/israel-gaza-city-palestine-netanyahu-war-b2811896.html,Palestine,
The Independent,08-10-2025,Terror and death as Israel strikes school in Gaza during prayers,https://www.independent.co.uk/news/world/israeli-strike-gaza-school-hamas-palestinians-b2594465.html,Palestine,
The Independent,08-12-2025,Anas al-Sharif: Who was the Al Jazeera journalist killed by Israel?,https://www.independent.co.uk/news/world/middle-east/anas-al-sharif-al-jazeera-journalist-killed-israel-gaza-b2805917.html,Palestine ,Anas al-Sharif
The Independent,07-19-2025,Trump administration imposes limits on Mexican flights and threatens Delta alliance in trade dispute,https://www.independent.co.uk/news/aeromexico-mexican-delta-mexico-city-trump-b2792273.html,Mexico,
The Indpependent,08-06-2025,"About 300 migrants start walking north in southern Mexico, but goal is not US border",https://www.independent.co.uk/news/mexico-claudia-sheinbaum-donald-trump-mexico-city-guatemala-b2803181.html,Mexico,
The Independent,09-14-2025,Venezuela says US marines raided a fishermen’s boat in the Caribbean as tensions rise,https://www.independent.co.uk/news/world/americas/us-politics/venezuela-donald-trump-marines-b2826087.html,Venezuela,
The Independent,09-03-2025,US military kills 11 with missile strike on boat 'carrying drugs' from Venezuela,https://www.independent.co.uk/news/world/americas/us-military-venezuela-drugs-boat-missile-strike-b2819151.html,Venezuela,
The Independent,07-25-2022,The money is gone': Evacuated Ukrainians forced to return,https://www.independent.co.uk/news/ap-ukraine-donetsk-vladimir-putin-taxi-drivers-b2130355.html,Ukraine,
The Independent,04-25-2025,Mapped: Territory Ukraine could lose as details of US peace deal proposal revealed,https://www.independent.co.uk/news/world/europe/ukraine-russia-war-mapped-territory-peace-deal-us-proposal-b2739480.html,Ukraine,
